datetime,price,market_cap,volume,MA_7,MA_30,RSI_14,MACD,MACD_Signal
2026-06-07 07:01:09.540,62108.17618467483,1243252493150.8713,28487758257.649216,61585.35727863723,60960.63464047766,63.69702124453459,179.43428816283995,0.3002997164165251
2026-06-07 08:01:00.879,62354.65926384663,1249295204820.8777,27466280592.366096,61812.93422636785,61003.09479557407,66.2790947652312,242.43139625948243,48.72651902502971
2026-06-07 09:00:29.706,62799.61706024372,1258655913344.3591,29182330317.248116,62002.64548041461,61064.698187562884,70.37542419993115,324.5205627570904,103.88532777144185
2026-06-07 10:01:07.608,62515.786540524714,1252894812843.9434,29792040772.1243,62148.78879216373,61126.2096857798,64.95500094357435,362.49544590147707,155.6073513974489
2026-06-07 11:00:19.410,62356.89936048305,1250323052552.0454,29605574346.202435,62247.66898377402,61202.33394470861,62.07277651843387,375.4420841918909,199.5742979563373
2026-06-07 12:00:42.023,62592.24803571717,1254110999863.2852,28801695517.301414,62351.20332524727,61258.23988748531,64.57988298284465,400.0811727948894,239.67567292404772
2026-06-07 13:00:57.655,61899.44056352343,1238657042795.2305,30233142819.867867,62375.261001287676,61296.80560760784,53.39124414151533,359.559279499219,263.65239423908196
2026-06-07 14:00:34.998,61708.48517537129,1236995057585.957,31546437717.5973,62318.162285672886,61321.18245295175,50.77983268610448,308.4809072981734,272.61809685090026
2026-06-07 15:00:14.691,61869.12182419518,1239761247293.594,31264186152.76023,62248.79979429411,61340.72213376177,52.86824514498206,277.76110724857426,273.64669893043504
2026-06-07 16:00:46.444,62040.156956288505,1242792462706.3198,30645650176.757065,62140.30549372907,61376.49520253499,55.054903252707454,264.1713472940901,271.75162860316607
2026-06-07 17:01:11.565,62019.38150876778,1242430543799.5007,30994960323.034576,62069.390489192374,61426.39399422521,54.72279072698382,248.85629912532022,267.1725627075969
2026-06-07 18:00:14.102,62139.10458449485,1245227285885.7222,31161308372.260654,62038.27694976549,61472.13175977327,56.35666756822458,243.571919288981,262.4524340238737
2026-06-07 19:00:28.087,62065.13471974559,1243977132449.415,30891056150.722263,61962.97504748383,61507.286634609525,55.035243534022,230.75525733704853,256.11299868650866
2026-06-07 20:00:03.269,61277.73988404787,1228725641279.3054,31454470640.116173,61874.16066470161,61523.75773399095,43.37603292513777,155.2718998850105,235.94477892620904
2026-06-07 21:00:30.661,61896.18584598038,1239597419754.8237,31697291434.398968,61900.975046217194,61560.25557163919,51.98076531905612,143.69775753532303,217.49537464803183
2026-06-07 22:00:42.009,61736.49926860991,1236663132066.4521,31706967980.23535,61882.028966847865,61591.892041672414,49.87331824035366,120.25358561886242,198.04701684219793
2026-06-07 23:00:09.544,62898.83562473381,1261008793847.6675,36631051849.65809,62004.69734805434,61664.60885019617,61.962017542126056,193.2372219492463,197.0850578636076
2026-06-08 00:00:50.798,63254.57215050675,1266954887605.9854,37684637505.908424,62181.153154017054,61754.95536304339,64.76288335757636,276.59384253244207,212.9868147973745
2026-06-08 01:00:51.746,63591.55171282999,1274405372555.6091,38276122711.68593,62388.64560092207,61853.60264857328,67.22483491370494,365.631230097395,243.5156978573786
2026-06-08 02:01:14.744,63135.73442175301,1265269128650.5198,38495226213.38881,62541.58841549456,61938.12442047131,61.01490114549417,394.8616361082677,273.7848855075564
2026-06-08 03:00:21.420,63092.973825538276,1263985048610.4934,38579004717.36076,62800.90754999319,62017.81418997711,60.450748606735814,409.85200196167716,300.99830879838055
2026-06-08 04:00:45.095,63097.738678422604,1264610051558.6765,37951096512.06866,62972.557954627795,62096.15926479206,60.49458226535387,417.30601473262504,324.25984998522944
2026-06-08 05:00:42.467,62746.110994682225,1258078422212.3503,38146869789.60116,63116.78820120956,62168.24530265813,55.59744233550069,390.3403574914555,337.4759514864746
2026-06-08 06:00:51.458,62686.89031970495,1256215811318.6108,36932801321.268745,63086.51030049114,62229.07897568241,54.792943098771886,360.0409384867453,341.98894888652876
2026-06-08 07:00:33.130,62955.75468147986,1261581749566.039,36104715957.479744,63043.82209063017,62302.21677740733,57.7799365806317,353.6469161205241,344.3205423333278
2026-06-08 08:00:33.105,63263.6371523138,1266885454191.702,36000754271.90601,62996.97715341357,62361.95007308724,60.96093772031772,369.1676151751017,349.28995690168256
2026-06-08 09:00:14.041,63105.120267771585,1263206401240.8855,35539847474.44662,62992.6037028448,62415.69463673693,58.51639433395883,364.47544711847877,352.3270549450418
2026-06-08 10:00:50.451,63430.00505978389,1270694609340.1265,34962851631.33051,63040.751022022734,62474.53687142269,61.88949535340913,382.5624162703316,358.3741272100998
2026-06-08 11:00:47.288,63090.98170944541,1264129452848.105,33837562800.55523,63039.785740740284,62515.31934022406,56.707705040603095,365.32883519398456,359.76506880687674
2026-06-08 12:00:46.655,63416.52653265283,1270789809055.3784,35559436841.632286,63135.55938902179,62571.502330271134,60.157368829936274,373.63283779523044,362.53862260454747
